,Zipcode,FoodStamp,WithHealthCoverage,WithPrivateInsurance,Withpubliccoverage,Nohealthinsurancecoverage,BelowPovertyLevel
6466,22802,13.1,79.1,76.1,3.7,20.9,2.7
6467,22807,9999999.99,97.5,97.5,5.3,2.5,9999999.99
6468,22810,4.5,79.3,79.3,0.0,20.7,13.1
6469,22811,0.0,71.3,59.0,12.3,28.7,12.9
6470,22812,3.4,86.0,82.9,4.7,14.0,3.7
6471,22815,8.0,87.5,84.8,4.2,12.5,3.2
6472,22820,0.0,100.0,100.0,0.0,0.0,16.1
6473,22821,4.1,78.5,77.1,2.7,21.5,3.3
6474,22824,8.8,84.6,82.8,4.0,15.4,3.1
6475,22827,8.6,87.0,83.2,4.6,13.0,3.3
6476,22830,11.3,78.5,75.0,3.4,21.5,6.5
6477,22831,6.8,97.2,97.2,0.0,2.8,9.8
6478,22832,8.4,93.9,93.9,0.8,6.1,9.0
6479,22834,3.2,80.0,80.0,0.0,20.0,6.2
6480,22835,13.3,87.0,86.4,2.3,13.0,4.7
6481,22840,5.8,88.1,85.0,3.1,11.9,3.4
6482,22841,9.5,88.4,87.3,2.7,11.6,4.1
6483,22842,18.9,77.5,74.0,4.3,22.5,4.5
6484,22843,8.9,86.2,86.2,0.0,13.8,9.0
6485,22844,8.1,83.2,82.3,4.7,16.8,5.8
6486,22845,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
6487,22846,3.7,85.0,80.9,4.1,15.0,11.7
6488,22847,3.6,88.1,85.4,6.1,11.9,4.6
6489,22849,13.5,87.7,85.2,3.7,12.3,6.2
6490,22850,15.5,89.8,89.8,0.0,10.2,10.8
6491,22851,18.2,68.0,62.4,6.2,32.0,6.8
6492,22853,12.4,80.6,78.0,3.5,19.4,5.9
6493,22901,6.5,87.3,85.2,3.5,12.7,2.5
6494,22902,11.7,83.6,80.8,3.8,16.4,3.4
6495,22903,5.7,90.6,88.9,2.8,9.4,2.6
6496,22904,6.9,95.6,92.8,2.9,4.4,63.2
6497,22911,2.4,91.3,90.4,1.6,8.7,1.4
6498,22920,3.9,91.4,86.7,5.6,8.6,2.7
6499,22922,30.4,78.2,78.2,0.0,21.8,13.5
6500,22923,6.0,90.9,90.1,2.4,9.1,4.1
6501,22931,9.2,89.8,89.8,0.0,10.2,16.9
6502,22932,1.8,94.9,93.0,3.5,5.1,2.6
6503,22935,7.1,83.2,83.2,1.6,16.8,13.5
6504,22936,4.4,91.3,90.6,1.6,8.7,3.9
6505,22937,10.8,85.9,84.5,3.5,14.1,11.2
6506,22938,9.5,75.9,75.9,0.0,24.1,8.8
6507,22939,3.8,86.1,85.0,2.6,13.9,2.2
6508,22940,3.6,71.7,71.7,0.0,28.3,12.4
6509,22942,6.8,91.3,90.2,3.3,8.7,3.1
6510,22943,0.0,88.6,88.6,0.0,11.4,38.3
6511,22946,7.8,89.0,89.0,0.0,11.0,33.5
6512,22947,3.6,76.1,76.1,0.0,23.9,1.8
6513,22948,0.0,77.1,77.1,0.0,22.9,51.6
6514,22949,14.1,92.1,92.1,11.0,7.9,11.4
6515,22952,9.0,74.4,73.0,1.5,25.6,3.0
6516,22958,0.0,84.3,84.3,17.3,15.7,4.2
6517,22959,5.4,95.0,95.0,0.0,5.0,4.2
6518,22960,17.3,78.7,73.1,7.7,21.3,5.4
6519,22963,3.2,90.3,89.6,1.5,9.7,1.8
6520,22964,10.4,63.6,63.6,0.0,36.4,18.8
6521,22967,6.2,91.2,89.5,1.8,8.8,7.4
6522,22968,8.1,90.7,88.6,4.3,9.3,3.8
6523,22969,10.0,97.7,97.7,12.5,2.3,8.5
6524,22971,19.1,66.5,63.4,3.1,33.5,17.3
6525,22972,0.0,100.0,100.0,0.0,0.0,29.2
6526,22973,9.0,77.5,74.4,5.8,22.5,6.3
6527,22974,13.9,90.3,88.3,2.3,9.7,5.4
6528,22976,57.9,45.1,39.7,5.4,54.9,21.9
6529,22980,13.2,82.1,79.2,4.6,17.9,2.3
6530,22989,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
6531,23002,10.5,81.4,80.5,2.7,18.6,3.3
6532,23004,8.3,78.2,76.4,1.8,21.8,8.3
6533,23005,7.7,90.2,88.3,5.4,9.8,2.5
6534,23009,7.8,94.9,93.4,2.5,5.1,2.8
6535,23011,0.0,97.0,87.6,11.5,3.0,7.2
6536,23015,13.0,83.9,79.9,8.7,16.1,5.8
6537,23021,0.0,94.8,85.1,9.8,5.2,20.3
6538,23022,0.0,66.9,59.6,7.3,33.1,15.6
6539,23023,15.3,60.6,60.6,0.0,39.4,32.7
6540,23024,11.4,77.4,76.1,2.7,22.6,4.4
6541,23025,0.0,100.0,100.0,0.0,0.0,34.8
6542,23027,23.0,76.5,70.9,7.4,23.5,12.1
6543,23030,13.8,84.8,81.5,6.9,15.2,3.3
6544,23032,10.2,93.6,93.6,9.0,6.4,40.7
6545,23035,17.7,91.0,86.3,4.7,9.0,4.4
6546,23038,14.3,90.2,88.7,1.5,9.8,13.5
6547,23039,0.0,96.6,96.6,2.4,3.4,10.1
6548,23040,25.6,75.9,71.7,8.4,24.1,6.4
6549,23043,9.2,88.0,83.1,12.5,12.0,9.1
6550,23045,54.5,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
6551,23047,3.8,96.6,95.4,1.1,3.4,4.8
6552,23050,4.9,91.0,91.0,0.0,9.0,6.3
6553,23055,0.0,93.9,93.9,4.2,6.1,8.4
