Zipcode,MedianIncome
ZCTA5 02779,50307.00
ZCTA5 02780,81334.00
ZCTA5 02790,72198.00
ZCTA5 02791,47826.00
ZCTA5 02802,73393.00
ZCTA5 02804,103937.00
ZCTA5 02806,90526.00
ZCTA5 02807,72526.00
ZCTA5 02808,60988.00
ZCTA5 02809,114803.00
ZCTA5 02812,68904.00
ZCTA5 02813,82532.00
ZCTA5 02814,149583.00
ZCTA5 02815,68351.00
ZCTA5 02816,80987.00
ZCTA5 02817,86144.00
ZCTA5 02818,84142.00
ZCTA5 02822,76962.00
ZCTA5 02825,35385.00
ZCTA5 02826,80125.00
ZCTA5 02827,71853.00
ZCTA5 02828,62076.00
ZCTA5 02830,93869.00
ZCTA5 02831,69700.00
ZCTA5 02832,76544.00
ZCTA5 02833,95833.00
ZCTA5 02835,66154.00
ZCTA5 02836,74698.00
ZCTA5 02837,47500.00
ZCTA5 02838,80625.00
ZCTA5 02839,61680.00
ZCTA5 02840,
ZCTA5 02841,70037.00
ZCTA5 02842,75260.00
ZCTA5 02852,79482.00
ZCTA5 02857,98269.00
ZCTA5 02858,53984.00
ZCTA5 02859,33548.00
ZCTA5 02860,52816.00
ZCTA5 02861,28842.00
ZCTA5 02863,74726.00
ZCTA5 02864,76424.00
ZCTA5 02865,77432.00
ZCTA5 02871,115074.00
ZCTA5 02872,72240.00
ZCTA5 02873,109722.00
ZCTA5 02874,84261.00
ZCTA5 02875,34688.00
ZCTA5 02876,73438.00
ZCTA5 02878,71818.00
ZCTA5 02879,76458.00
ZCTA5 02881,65619.00
ZCTA5 02882,53706.00
ZCTA5 02885,63316.00
ZCTA5 02886,55431.00
ZCTA5 02888,62929.00
ZCTA5 02889,62590.00
ZCTA5 02891,80266.00
ZCTA5 02892,50909.00
ZCTA5 02893,95208.00
ZCTA5 02894,35216.00
ZCTA5 02895,79503.00
ZCTA5 02896,88068.00
ZCTA5 02898,28813.00
ZCTA5 02903,40984.00
ZCTA5 02904,39844.00
ZCTA5 02905,66770.00
ZCTA5 02906,28939.00
ZCTA5 02907,42131.00
ZCTA5 02908,30439.00
ZCTA5 02909,54577.00
ZCTA5 02910,56038.00
ZCTA5 02911,
ZCTA5 02912,45688.00
ZCTA5 02914,51948.00
ZCTA5 02915,62768.00
ZCTA5 02916,70803.00
ZCTA5 02917,57506.00
ZCTA5 02919,49766.00
ZCTA5 02920,99915.00
ZCTA5 02921,114399.00
ZCTA5 03031,106222.00
ZCTA5 03032,109006.00
ZCTA5 03033,94347.00
ZCTA5 03034,107833.00
ZCTA5 03036,87786.00
ZCTA5 03037,65157.00
ZCTA5 03038,77629.00
ZCTA5 03042,87500.00
ZCTA5 03043,82566.00
ZCTA5 03044,70034.00
ZCTA5 03045,94417.00
ZCTA5 03046,70833.00
ZCTA5 03047,62778.00
ZCTA5 03048,107333.00
ZCTA5 03049,84099.00
ZCTA5 03051,96429.00
ZCTA5 03052,94314.00
ZCTA5 03053,91429.00
ZCTA5 03054,64453.00
ZCTA5 03055,92591.00
ZCTA5 03057,46511.00
ZCTA5 03060,84927.00
ZCTA5 03062,75458.00
ZCTA5 03063,62336.00
ZCTA5 03064,100616.00
ZCTA5 03070,81375.00
